,Median,Mean,10,20,25,30,40,60,70,75,80,90
E08000031,21341,26450,8511,13147,14679,15864,18374,24819,31477,34117,36877,x
E10000034,20784,23829,6948,10994,12344,14611,17881,24254,28321,30934,34405,42248
E07000234,22772,25402,x,x,x,x,x,25264,x,x,x,x
E07000235,18751,22251,x,x,10874,12198,16344,21767,x,x,x,x
E07000236,20085,24055,7761,11718,13947,15118,17408,22773,27973,31066,x,x
E07000237,22271,25434,8554,11821,13739,15640,18976,26006,29582,31680,35950,x
E07000238,21401,23372,7663,11188,12694,15532,18402,26018,29961,32240,34072,x
E07000239,18181,20712,x,10028,11052,11631,15728,20845,24436,26241,x,x
E12000006,22631,27103,6673,11000,13239,15214,18786,26701,31596,34671,38095,49432
E06000032,26281,31167,x,13727,15480,16658,21317,31728,37316,39724,44844,x
E06000031,20449,26393,8370,11433,13661,15048,17767,25135,29559,32260,36782,x
E06000033,19713,22222,6128,9913,11215,12945,15881,23355,26939,29553,33017,x
E06000034,23279,25013,6469,10568,12157,14243,18384,26360,30054,34367,36633,x
E06000055,24382,27032,x,12000,13784,15444,18893,27548,32232,35748,39486,x
E06000056,22373,27563,x,10982,12733,14947,19186,26032,30088,33169,35369,x
E10000003,25813,31060,7890,13997,15998,18145,22191,29852,34424,37741,41644,57067
E07000008,27394,33780,10347,16426,18658,20130,23914,31705,36256,39013,43426,x
E07000009,22586,28189,x,10955,12102,14047,18641,26588,29934,34187,x,x
E07000010,20907,22856,x,11564,13118,14540,17854,23948,26349,29761,32074,x
E07000011,23933,27501,6463,11324,14094,15930,20195,27217,32082,35392,37912,x
E07000012,29018,35223,x,16263,18015,20469,25401,33025,40728,43542,49402,x
E10000012,22255,26703,6420,10631,12825,15113,18568,26312,31323,34252,38084,48946
E07000066,22295,27558,7807,12520,15131,16507,19088,26299,31661,34531,37616,x
E07000067,21781,26085,x,11546,13843,15687,18234,26072,30564,32372,36708,x
E07000068,x,30034,x,x,x,x,x,x,x,x,x,x
E07000069,17006,22123,x,x,x,11081,13955,x,x,x,x,x
E07000070,21870,26678,6183,10399,12696,14923,18320,26275,30485,33828,37465,x
E07000071,21639,25722,x,x,x,14750,18704,26075,29870,32238,x,x
E07000072,24099,27049,7495,11466,14217,16315,19019,28540,32593,36000,x,x
E07000073,25501,31614,9688,15398,18232,19985,22701,30999,37216,41294,x,x
E07000074,22562,28573,x,10400,x,12970,17809,x,x,x,x,x
E07000075,19841,21172,x,7615,9197,x,15546,22924,29202,x,x,x
E07000076,17480,22234,4935,7816,9677,11304,14795,21379,25102,x,x,x
E07000077,23795,29478,x,11068,13157,15887,19803,28222,32487,x,x,x
E10000015,24000,29252,6001,10374,12802,15179,19658,29000,34300,37371,40454,54897
E07000095,23078,27809,x,x,x,x,19845,x,x,x,x,x
E07000096,23219,28434,8081,11461,13671,14861,19133,26929,31197,35392,39478,x
E07000242,23413,26091,5397,9392,11612,14500,19060,27830,32657,36446,39303,x
E07000098,27249,32636,8425,13370,16021,17470,23207,31516,x,x,x,x
E07000099,23348,27532,6026,10239,13401,15491,19789,29751,34516,37682,39117,x
E07000240,21838,29866,x,10546,12823,14896,18620,28546,32928,36130,39003,x
E07000243,29933,35192,10057,14830,17332,19311,24159,35218,40409,42437,46930,x
E07000102,30154,37997,7811,15985,18045,21480,25977,35363,41102,46500,x,x
E07000103,15941,20563,2353,5053,6707,8385,11560,20926,26332,28809,32148,x
E07000241,25772,32542,x,x,14681,18843,21749,32056,36684,40580,x,x
E10000020,19875,23158,6318,10163,11840,13776,16812,23407,27884,30463,33358,43162
E07000143,18764,20061,x,9231,11434,12836,15568,21273,24795,26575,30015,x
E07000144,19077,22759,6769,x,x,13419,15775,22190,x,x,x,x
E07000145,19997,25083,7064,11227,13208,14617,17211,23334,28034,x,x,x
E07000146,19430,23715,x,10309,11911,13416,16467,23806,28188,30720,35349,x
E07000147,19408,20573,x,9495,10983,12060,15939,23590,26432,29117,30172,x
E07000148,20830,24164,5828,9941,11963,14492,17935,24127,29138,x,x,x
E07000149,21303,23825,6792,10331,12000,14246,17809,23589,29271,32229,x,x
E10000029,21549,25142,6656,10853,13110,14889,18168,25457,29677,32467,35444,45236
E07000200,19311,23271,x,9851,11862,14167,16748,22411,27368,x,x,x
E07000201,18735,23941,x,10998,11993,13526,16435,23233,27652,30209,x,x
E07000202,22063,26713,6513,10743,13467,15323,19167,26077,30934,35005,38387,x
E07000203,20559,23272,x,10511,11698,14046,17390,23725,x,x,x,x
E07000204,22603,25430,7542,12630,14902,16711,19020,25487,29235,32087,35407,x
E07000205,26436,28746,7581,11945,14029,15572,22107,29781,35159,37744,42354,x
E07000206,17310,19887,5073,8344,9955,11973,14862,19955,24571,26025,28101,x
E12000007,32163,42904,9416,16556,19472,22136,27083,37619,44852,49158,54951,78283
E13000001,36450,50456,12213,20394,23533,26114,31292,42780,50750,56267,64196,92988
E09000007,34496,39843,12351,20287,23158,25547,30079,39303,45370,49516,53081,69333
E09000001,53835,75996,21051,29262,33121,37737,44822,64793,77381,86426,98168,x
E09000012,28738,35204,7829,13983,16790,19792,24635,33544,37802,39993,46518,x
E09000013,33658,39582,x,x,x,25440,30338,37829,45682,48759,x,x
E09000014,25420,28047,7075,11482,13945,16668,21501,28937,33738,36677,40444,x
E09000019,36377,47257,13140,22607,25000,27536,32425,41880,48721,54119,60618,x
E09000020,27925,33599,x,17122,19344,21501,24132,32354,37600,40493,45718,x
E09000022,31818,34934,10160,16738,19041,21376,26950,35178,41185,44313,47882,x
E09000023,26000,29044,x,x,15965,17747,21991,32236,36510,39850,43169,x
E09000025,23448,30170,x,x,x,x,18796,27383,34477,x,x,x
E09000028,34718,40018,11612,19714,22093,25183,29994,39513,45160,48532,52296,70449
E09000030,43668,67672,14819,23830,27016,30398,36495,53784,65255,73770,88045,x
E09000032,28853,34017,9468,15000,17932,19955,24966,32732,38033,40172,44371,x
E09000033,38489,54758,15108,22663,25134,27816,33016,45000,53744,59778,66801,100710
E13000002,25180,29774,7315,12000,14548,16718,20960,29866,35180,38318,42155,53443
E09000002,22175,26348,x,8833,10429,13215,18632,27043,33182,36667,38479,x
E09000003,23897,28206,7158,10976,13393,15774,19245,28578,34798,37913,41420,x
E09000004,23275,26258,x,x,12845,15086,18839,28073,33713,36973,40015,x
E09000005,23923,28897,6337,10984,13875,15636,18768,29126,33485,36245,40562,x
E09000006,21769,26963,6870,10622,12249,14536,18321,26828,32231,35316,39084,x
E09000008,26716,30019,8418,13459,15614,18149,22767,31691,36109,39439,42267,x
E09000009,25392,29971,x,13259,15588,17446,21626,29292,34546,39402,43430,x
E09000010,23369,26591,6101,9001,11000,13128,18351,27301,32239,36631,40235,x
E09000011,26537,29021,7186,13278,15228,17283,21965,31454,35867,37576,42312,x
E09000015,x,28299,x,x,x,x,x,x,x,x,x,x
E09000016,23935,27239,7972,11747,13536,16298,19689,27000,32751,34931,38084,x
E09000017,28409,35578,10323,16731,18532,20905,24999,34233,39198,43091,47581,x
E09000018,30339,37051,x,16210,19111,21323,25297,34930,41098,45375,51019,x
E09000021,25826,28549,x,11626,13216,15707,20975,29970,33719,37458,40210,x
E09000024,23898,29316,7886,12202,14207,16313,19859,27917,33696,35702,39364,x
E09000026,x,24006,x,x,x,x,x,x,x,x,x,x
E09000027,27700,32479,8159,x,x,19841,23502,31654,35969,x,x,x
E09000029,22876,27871,6467,11026,13436,15963,19000,x,x,x,x,x
E09000031,22745,24915,6694,10360,11969,14446,19212,27195,31300,35116,38046,x
E12000008,24679,29788,7553,12362,14876,16812,20678,29248,34534,37638,41299,54000
E06000036,32187,37336,11188,17451,19808,22342,26206,38722,44526,47904,51981,x
E06000043,21917,26036,6602,11212,13518,15452,18901,25000,30000,32703,36457,x
E06000046,20213,22913,7704,10683,11411,13360,15662,22927,27476,31647,33514,x
E06000035,22747,25788,6820,10826,13037,14862,18146,26000,30604,34255,37046,x
E06000042,27532,32322,9917,15648,17377,19291,23546,31768,37308,41521,46269,57993
E06000044,24186,27071,7770,12983,14690,16952,20540,28073,31713,34830,37469,x
E06000038,28756,37616,x,x,16130,19107,23754,35628,41295,44550,49405,x
E06000039,27764,32614,x,15085,18000,20241,24521,32169,37509,x,x,x
E06000045,24477,35117,x,x,14372,16502,20318,29530,35115,38227,40998,x
E06000037,27785,33887,8786,14688,17051,19004,23733,31554,38237,43138,48303,x
E06000040,27837,38286,7223,12855,16543,18940,22839,34093,40255,44278,x,x
E06000041,27750,34731,8415,13485,16829,18710,23286,33659,41852,44977,50966,x
E10000002,25162,31060,7738,12036,14847,16749,20841,29932,35667,38826,43864,x
E07000004,22425,27798,6847,11159,14144,15541,18812,27302,32534,35611,40307,x
E07000005,21279,28422,6720,9796,11861,14165,17564,25740,x,x,x,x
E07000006,28410,32418,9723,13062,15553,17690,x,33604,x,x,x,x
E07000007,26930,33923,8061,13368,15963,18919,23025,32003,36923,40911,47601,x
E10000011,19424,22903,5491,9399,11431,13226,16728,23191,28356,31652,34707,x
E07000061,19917,24025,x,11546,13175,15068,17876,23985,30355,33167,35235,x
E07000062,x,23526,x,x,x,x,x,x,x,x,x,x
E07000063,19885,24005,x,8505,10568,12440,16481,26599,32508,34856,36707,x
E07000064,x,18656,x,x,x,x,x,x,x,x,x,x
E07000065,19644,22841,x,x,x,x,16386,23110,x,x,x,x
E10000014,24652,29135,7360,12223,14654,16781,20653,28977,34294,37836,41163,52851
E07000084,26749,30724,8207,14325,15873,18067,22089,32081,37880,39586,42284,x
E07000085,25124,26527,7445,12396,15246,17049,21272,29197,32092,35468,38466,x
E07000086,24344,27892,7394,12095,14293,16914,20685,28086,31155,35046,38351,x
E07000087,23899,28974,x,11528,13701,15272,19357,26995,x,x,x,x
E07000088,20359,23251,x,9553,10871,12661,16291,x,x,x,x,x
E07000089,23524,30520,6633,10225,12878,14671,18682,28554,37018,x,x,x
E07000090,23337,27455,x,12752,14429,16032,19984,28020,32798,37016,x,x
E07000091,21367,26589,x,9374,11521,14373,18588,24778,29807,32629,37703,x
E07000092,27091,34352,x,14261,15913,18504,22464,32486,38320,41472,x,x
E07000093,25599,27338,6979,14167,16626,18910,21937,28214,32157,34803,37542,x
E07000094,25655,30987,6284,x,15001,17109,21928,30748,37570,41242,44451,x
E10000016,21995,25706,7135,11048,13105,15074,18090,25628,30654,33484,36665,46731
E07000105,22665,27884,x,x,x,x,x,x,x,x,x,x
E07000106,20342,23652,x,9402,11662,13312,16615,23409,29209,32600,36169,x
E07000107,25659,28886,7195,12568,15159,16511,20533,30033,34342,37711,40844,x
E07000108,22459,26225,x,11647,x,x,x,x,x,x,x,x
E07000109,18238,23957,5103,7682,8501,10805,15022,24189,31331,35415,x,x
E07000110,24329,26621,8100,13494,15538,17334,20829,28436,32631,34742,36687,x
E07000111,23480,26445,7647,11531,12509,14935,18229,25327,30285,33760,x,x
E07000112,22074,26491,7702,11562,13557,15210,18391,25064,30545,33785,x,x
E07000113,21565,23059,6628,x,x,13969,18391,24863,28793,30928,33394,x
E07000114,15584,19096,5740,9319,10537,11346,13531,17958,21655,24000,x,x
E07000115,22071,26782,x,x,x,x,x,26993,x,x,x,x
E07000116,22401,27040,7356,10326,13241,15748,19091,24639,28652,31679,x,x
E10000025,27604,30471,7926,14139,16803,18961,23203,31703,36306,39257,43271,x
E07000177,26831,30714,x,x,x,x,x,30448,35453,x,x,x
E07000178,29466,31430,9437,17170,19810,21738,25505,32501,35957,39077,43581,x
E07000179,26175,27573,x,10031,13989,16141,20798,30755,35327,39253,41551,x
E07000180,29705,34313,8581,15082,17756,19594,24524,37454,42250,45080,48487,x
E07000181,21676,25460,x,8986,11395,13661,18570,25972,30799,32729,x,x
E10000030,27969,34302,8052,14050,16649,19144,23732,32702,38382,41648,47123,62276
E07000207,29757,34328,6735,x,x,18376,24004,33717,38870,x,x,x
E07000208,22720,25096,x,x,x,16185,20808,26053,x,x,x,x
E07000209,29786,35983,11952,18708,21390,22952,26250,34624,39178,42462,45899,x
E07000210,x,35100,x,x,x,x,x,x,x,x,x,x
E07000211,27984,35928,x,12862,15674,18433,22634,33959,38499,42954,48412,x
E07000212,29310,38988,x,16263,17457,19346,24225,37350,44601,x,x,x
E07000213,31538,39248,x,16118,18483,22074,28011,35883,41613,x,x,x
E07000214,26147,31186,x,x,16142,18543,22432,29666,33436,x,x,x
E07000215,24619,26404,x,x,11876,15622,18232,26728,31198,36652,x,x
E07000216,24315,27689,x,10494,13069,15506,19882,28000,31911,34904,36734,x
E07000217,28284,37868,9609,14248,16596,19185,23941,33500,39006,41910,x,x
E10000032,22384,26633,7819,12381,14431,16022,18995,26502,31305,34244,37372,47009
E07000223,22762,25664,x,x,14743,17449,20029,25730,x,x,x,x
E07000224,17883,19908,x,9671,11593,12765,15049,20791,23746,25388,28797,x
E07000225,19415,22610,5904,8576,11191,13712,16835,22278,28948,31343,33472,x
E07000226,27889,33925,11898,16238,17760,19054,23387,32597,36991,40541,x,x
E07000227,21769,24983,7616,11943,14257,15807,19272,26037,29828,32846,36295,x
E07000228,23929,27570,8006,13259,14931,17399,20415,28502,33567,37214,40224,x
E07000229,20020,23166,6951,11879,12970,14196,16442,23585,27946,29434,31399,x
E12000009,21797,25305,6592,10899,13000,15000,18338,25377,29897,32456,35626,45507
E06000022,22549,27336,7020,9964,12445,14566,18362,26538,31036,34859,x,x
E06000028,22201,27226,7688,11643,14407,16145,18967,25878,31327,34710,x,x
E06000023,24227,28865,8658,14183,16211,17954,20851,27791,32584,35541,39261,52472
E06000024,19941,24664,x,9623,11505,13899,16261,23182,28047,x,x,x
E06000026,22618,24769,6966,11942,13875,15222,18546,26987,30474,33150,35618,x
E06000029,22923,26996,7976,12255,14005,16553,19797,26535,31746,34190,38148,x
