E07000134,28655,36222,12255,19018,21073,22526,25821,33489,37096,40434,43540,x
E07000135,20609,25722,x,x,16032,17238,18589,24549,x,x,x,x
E10000019,26499,28592,x,14726,17311,19543,23025,29986,33956,36452,39388,x
E07000136,24589,27636,11003,14438,16636,18513,22064,28106,32625,33312,x,x
E07000137,26647,28061,x,14330,16031,18609,21433,x,x,x,x,x
E07000138,27954,29524,x,x,x,x,23970,31481,35882,x,x,x
E07000139,x,x,x,x,x,x,x,x,x,x,x,x
E07000140,27298,29303,x,16192,17851,x,x,x,x,x,x,x
E07000141,x,28498,x,x,x,x,x,x,x,x,x,x
E07000142,27476,28278,x,14968,17543,20089,23152,29840,34421,37002,x,x
E10000024,25380,28040,8758,13563,16351,18755,22483,28899,33281,36124,39874,48550
E07000170,25024,28452,8520,15207,17861,20567,22975,29234,33138,35592,37415,x
E07000171,24972,26988,x,x,x,x,23019,27379,x,x,x,x
E07000172,26070,29643,8553,13453,16039,18826,23550,29944,32740,36696,x,x
E07000173,27470,29475,x,11887,14951,17588,22368,30061,38579,43131,45738,x
E07000174,24071,26680,8922,12422,14280,16454,20599,28726,33343,36146,38630,x
E07000175,24633,27039,x,11461,13850,17290,21618,28142,34333,37558,41899,x
E07000176,25940,29308,x,13870,15772,17621,22174,29438,35720,38776,x,x
E12000005,28244,32667,9878,15867,18771,21070,24604,32492,37891,40670,43834,54458
E06000019,25739,27945,9393,14030,16069,19616,22785,28826,34014,36572,39782,x
E06000021,27060,29009,9106,15112,17675,19853,23739,30154,33951,36252,40299,x
E06000020,27529,32246,10655,16660,19555,22118,24754,31724,37485,40499,43391,x
E06000051,25355,29008,x,14072,16217,18173,21862,29433,34532,37298,39984,x
E10000028,27291,30143,8697,15156,17971,20074,23868,30998,35622,38488,40961,x
E07000192,26049,26831,x,x,x,x,x,x,x,x,x,x
E07000193,28887,33399,11854,19078,20799,22921,26401,32980,x,x,x,x
E07000194,27139,x,x,15824,19433,20775,23791,31631,35608,38411,x,x
E07000195,x,27231,x,x,x,x,x,x,x,x,x,x
E07000196,x,31311,9822,13899,15185,17163,x,x,x,x,x,x
E07000197,28611,30997,x,13900,17312,20454,24295,32880,38276,42078,43729,x
E07000198,25896,27944,x,14104,15164,18004,21492,30065,35979,38228,x,x
E07000199,27095,28850,9198,x,x,20570,24661,29639,35186,39523,x,x
E10000031,29013,36716,x,16405,19794,21884,25293,32923,38349,41954,45429,x
E07000218,29665,x,11362,17367,20682,22697,25102,32002,36676,39066,42468,x
E07000219,26354,29628,x,15421,16493,19376,22567,30190,34828,38749,x,x
E07000220,x,32925,10012,x,x,x,x,x,x,x,x,x
E07000221,28192,31684,9998,14462,18483,21214,24302,32695,36795,40236,44047,x
E07000222,29634,37249,x,x,21029,22841,26298,x,x,x,x,x
E11000005,29473,34094,10433,16523,19604,21722,25592,34136,39634,42218,46685,57906
E08000025,29557,34526,10677,16903,19762,21910,25800,34331,40363,43359,48505,62450
E08000026,35562,42139,11970,20577,23166,25632,30407,40038,45343,48867,52785,64652
E08000027,25736,28697,8569,13551,16386,18820,22502,29713,35248,38655,41362,x
E08000028,26210,29120,10266,15041,17724,20183,23367,29897,34218,38163,41124,x
E08000029,31345,36456,11725,18052,21391,23539,27345,35356,40714,44178,50005,x
E08000030,27019,29929,9377,14044,16858,19688,23358,31605,37350,39812,42432,x
E08000031,28496,30257,10431,16899,19022,20914,24887,32077,35963,37877,41090,x
E10000034,27552,30385,x,15213,18640,20445,23970,31282,36248,39355,42538,x
E07000234,x,x,x,x,x,x,x,x,x,x,x,x
E07000235,27859,29985,x,12282,x,17029,22197,31517,x,x,x,x
E07000236,26780,32778,12329,18750,20298,21981,24201,32268,37978,40123,x,x
E07000237,27406,29905,x,x,x,x,23612,31086,36987,x,x,x
E07000238,29891,31694,10601,17305,19470,22188,25742,32390,37482,41097,43032,x
E07000239,x,25239,x,x,x,x,x,x,x,x,x,x
E12000006,28669,32855,8633,14161,17063,19960,24532,33240,38603,42197,45890,58244
E06000055,28467,30772,x,x,x,x,24193,32460,36631,40126,x,x
E06000056,28308,31785,8883,13950,16812,19924,24886,33335,38885,41871,45197,x
E06000032,27855,31994,9135,15830,17401,19899,23340,33423,38606,41911,44503,x
E06000031,29012,31958,8946,14366,18551,21408,25973,33085,38021,41727,46503,x
E06000033,24535,27565,7899,13283,15091,17569,20606,29626,33367,34891,37865,x
E06000034,30234,33377,x,17031,19580,21812,27073,33986,40224,44274,47159,x
E10000003,32982,39369,x,18691,21935,24451,28304,38006,43673,47799,52163,x
E07000008,35006,42573,x,18983,23245,25842,30786,40643,47130,51269,56162,x
E07000009,x,26881,x,x,x,x,x,x,x,x,x,x
E07000010,x,30969,x,x,x,x,x,x,x,x,x,x
E07000011,31136,34236,10728,17912,21390,23307,27390,35407,41234,43612,47756,x
E07000012,x,46755,x,x,x,x,x,x,x,x,x,x
E10000012,27995,31891,8608,13327,15930,18953,23744,32514,37450,40781,44500,58904
E07000066,28511,33095,11271,16191,19099,21015,24486,33109,37396,42564,44862,x
E07000067,27150,29161,9081,14694,17886,19710,22946,30647,35042,37335,40247,x
E07000068,34134,39332,12516,18782,21911,23833,28231,39670,x,x,x,x
E07000069,x,x,x,x,x,x,x,x,x,x,x,x
E07000070,30163,31925,8689,14203,16723,21398,26846,33559,39076,41147,44017,x
E07000071,28932,33784,8790,12350,15629,19979,23362,32894,38685,41667,44172,x
E07000072,26904,31196,7537,10946,14859,15883,21115,31991,39391,42812,x,x
E07000073,27790,30817,8790,16228,18414,22606,25355,31611,35025,x,x,x
E07000074,27565,30145,x,11970,12568,x,20803,29219,x,x,x,x
E07000075,x,x,x,x,x,x,x,x,x,x,x,x
E07000076,23226,27736,6970,9751,11974,14121,19036,25742,33041,35753,x,x
E07000077,28501,33523,x,10582,x,x,22966,34475,40561,x,x,x
E10000015,28600,33768,6384,11594,14159,17255,23295,33939,40449,44083,48315,x
E07000095,31400,33914,8916,x,17928,20931,27419,34971,43518,47463,x,x
E07000096,14577,21040,2615,5196,6597,7715,10397,19454,25722,29316,34244,x
E07000242,34223,36182,7641,13750,16557,20025,26540,37570,44070,46808,x,x
E07000098,x,38850,x,x,x,x,x,x,x,x,x,x
E07000099,31680,34053,x,x,x,x,27846,35368,x,x,x,x
E07000240,31188,37073,10829,16736,19526,22301,27218,35946,40581,43752,x,x
E07000243,34099,40822,11769,19518,21415,25501,29601,41717,46139,49144,x,x
